step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
1321,037,38,32762,1781,1010,771,0,461,7,1478,0.6833558863328822,0.5670971364402021,0.6198220312979441,0.4490884837705647,0.43290286355979785,0.029240137003678803,0.0004600722970752547,37.0,29.5,35.0,17.535377502441406,13.533164978027344,16.347379684448242,0,0,0,0,0,0,0,0,1781,1010,771,0
450,037,19,32768,2375,1612,763,0,877,30,2519,0.6399364827312426,0.6787368421052632,0.6587658357172047,0.49116392443631934,0.32126315789473686,0.04799693520140105,0.002475043313257982,35.58333206176758,29.0,38.0,16.38028335571289,13.446649551391602,20.815494537353516,0,0,0,0,0,0,0,0,2375,1612,763,0
1993,037,48,32766,2273,1511,762,0,718,3,2232,0.6769713261648745,0.6647602287725473,0.6708102108768036,0.5046760187040749,0.3352397712274527,0.05592335851701846,0.00016993315962388127,38.0,30.0,31.0,12.775641441345215,13.12932300567627,12.153985977172852,0,0,0,0,0,0,0,0,2273,1511,762,0
992,037,19,32768,2393,1631,761,1,819,9,2459,0.6632777551850345,0.6815712494776431,0.6723000824402309,0.5063644830797889,0.3180108650229837,0.04453507340946167,0.000750938673341677,36.0,29.0,38.0,16.386301040649414,14.33077335357666,20.250144958496094,0,0,0,0,0,0,0,0,2393,1631,761,1
308,037,30,32766,1742,983,757,2,445,8,1436,0.6845403899721448,0.5642939150401837,0.618628067967275,0.44783599088838266,0.43455797933409873,0.027099445831557153,0.000547832637129357,36.0,28.0,38.0,19.72061538696289,13.68255615234375,17.79007339477539,0,0,0,0,0,0,0,0,1742,983,757,2
2111,037,1,32768,2866,2112,753,1,1265,75,3452,0.6118192352259559,0.7369155617585486,0.6685660018993352,0.5021398002853067,0.26273551988834615,0.06929228746713409,0.006439979392065945,36.0,29.0,34.0,14.457195281982422,13.483903884887695,17.788097381591797,0,0,0,0,0,0,0,0,2866,2112,753,1
780,037,61,32758,749,0,749,0,31,135,166,0.0,0.0,0.0,0.0,1.0,0.0020854355869492094,0.007874475034997667,,29.0,41.0,,11.809988021850586,10.1920804977417,0,0,0,0,0,0,0,0,749,0,749,0
1979,037,61,32741,749,0,749,0,1,30,31,0.0,0.0,0.0,0.0,1.0,6.503219093451258e-05,0.0018055973517905506,,29.0,48.0,,11.809988021850586,10.268426895141602,0,0,0,0,0,0,0,0,749,0,749,0
1186,037,47,32768,2350,1602,748,0,703,0,2305,0.6950108459869848,0.6817021276595745,0.6882921589688507,0.524729773992794,0.31829787234042556,0.05151315307393566,0.0,34.0,30.0,32.0,13.715333938598633,13.338319778442383,13.057400703430176,0,0,0,0,0,0,0,0,2350,1602,748,0
97,037,36,32764,1641,896,745,0,430,20,1346,0.6656760772659732,0.5460085313833029,0.5999330431871442,0.4285031085604974,0.45399146861669715,0.026742956651533055,0.0013294336612603031,36.0,31.0,36.0,18.20376491546631,17.57197380065918,15.617758750915527,0,0,0,0,0,0,0,0,1641,896,745,0
