step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
395,013,66,32726,599,437,161,1,370,337,1144,0.381993006993007,0.7295492487479132,0.5014343086632244,0.3346094946401225,0.2687813021702838,0.05861850443599493,0.01305442572147976,39.0,34.0,35.0,17.3280086517334,19.34552574157715,22.26625633239746,473,402,71,0,0,0,0,0,126,35,90,1
1417,038,71,32730,237,159,78,0,80,336,575,0.27652173913043476,0.6708860759493671,0.3916256157635468,0.2434915773353752,0.3291139240506329,0.022484541877459248,0.011612234318299637,54.0,37.0,31.0,37.08308792114258,30.07190704345703,35.749942779541016,0,0,0,0,0,0,0,0,237,159,78,0
380,013,17,32565,289,200,86,3,222,333,755,0.26490066225165565,0.6920415224913494,0.3831417624521073,0.23696682464454977,0.2975778546712803,0.047073791348600506,0.012082728592162554,47.0,36.0,38.0,30.813525199890137,20.845948219299316,29.521681785583496,288,200,86,2,0,0,0,0,1,0,0,1
147,013,51,32702,348,255,91,2,349,332,936,0.2724358974358974,0.7327586206896551,0.397196261682243,0.2478134110787172,0.2614942528735632,0.08186722965048088,0.011818731978213664,40.0,36.0,34.0,26.649967193603516,22.252357482910156,29.13266372680664,328,245,82,1,0,0,0,0,20,10,9,1
2023,013,39,32695,328,267,57,4,407,332,1006,0.2654075546719682,0.8140243902439024,0.4002998500749625,0.25023430178069356,0.17378048780487804,0.08386565011333195,0.012066584284364324,43.0,35.0,35.0,27.30294418334961,19.421218872070312,27.12043571472168,320,264,52,4,0,0,0,0,8,3,5,0
346,013,36,32649,482,356,125,1,407,330,1093,0.32570905763952424,0.7385892116182573,0.45206349206349206,0.29204265791632483,0.25933609958506226,0.05606060606060606,0.013249287348938049,41.0,35.5,33.0,22.567849159240723,18.099376678466797,23.91530990600586,479,356,122,1,0,0,0,0,3,0,3,0
994,013,37,32639,570,448,119,3,508,320,1276,0.3510971786833856,0.7859649122807018,0.48537378114842905,0.32045779685264664,0.20877192982456141,0.05512750949538795,0.0140019252647239,40.875,37.0,33.0,13.897919178009033,17.323862075805664,13.926495552062988,566,446,117,3,0,0,0,0,4,2,2,0
1849,013,29,32636,822,610,208,4,414,317,1341,0.45488441461595824,0.7420924574209246,0.5640314378178456,0.39278815196394073,0.25304136253041365,0.0351921115266916,0.015810473815461346,36.5,29.0,31.0,12.703394412994385,12.203311443328857,13.042084693908691,822,610,208,4,0,0,0,0,0,0,0,0
1834,124,21,32732,227,205,21,1,211,313,729,0.2812071330589849,0.9030837004405287,0.42887029288702927,0.2729693741677763,0.09251101321585903,0.025782013685239493,0.012869536614448418,32.0,10.0,28.0,28.18117332458496,43.97467041015625,27.502771377563477,226,205,20,1,0,0,0,0,1,0,1,0
264,054,18,32768,130,109,21,0,197,312,618,0.17637540453074432,0.8384615384615385,0.2914438502673797,0.1705790297339593,0.16153846153846155,0.12343358395989974,0.010050898782294955,34.0,32.0,34.0,19.279190063476562,16.056432723999023,17.23646354675293,0,0,0,0,76,76,0,0,54,33,21,0
