step,seq_id,frame_idx,active_points,true_marking,marking_tp,marking_to_road,marking_to_other,road_to_marking,other_to_marking,predicted_marking,marking_precision,marking_recall,marking_f1,marking_iou,marking_to_road_rate,road_to_marking_rate,other_to_marking_rate,marking_tp_intensity_median,marking_to_road_intensity_median,road_to_marking_intensity_median,marking_tp_range_median,marking_to_road_range_median,road_to_marking_range_median,raw_8_true,raw_8_tp,raw_8_to_road,raw_8_to_other,raw_9_true,raw_9_tp,raw_9_to_road,raw_9_to_other,raw_10_true,raw_10_tp,raw_10_to_road,raw_10_to_other
149,054,27,32713,2076,1988,85,3,1293,45,3326,0.597714972940469,0.9576107899807321,0.7360236949278045,0.5823081429408319,0.04094412331406551,0.11550830802215473,0.0023144576454250886,51.0,30.0,34.0,11.43661880493164,12.758244514465332,11.43272590637207,43,38,5,0,0,0,0,0,2033,1950,80,3
841,037,1,32768,2865,2204,661,0,1286,14,3504,0.6289954337899544,0.7692844677137871,0.6921023708588475,0.529171668667467,0.23071553228621292,0.07070984769340738,0.001194947080914988,35.0,29.0,34.0,14.189235210418701,13.720904350280762,16.901066780090332,0,0,0,0,0,0,0,0,2865,2204,661,0
1300,054,9,32767,1520,1494,26,0,1284,29,2807,0.5322408265051657,0.9828947368421053,0.690547723596025,0.5273561595481822,0.017105263157894738,0.24588280352355418,0.0011143131604226706,36.0,30.75,37.0,16.902088165283203,14.435422420501709,18.497478485107422,0,0,0,0,81,81,0,0,1439,1413,26,0
1867,037,3,32768,2617,1965,652,0,1274,21,3260,0.602760736196319,0.7508597630875048,0.6687085247575294,0.5023006134969326,0.24914023691249523,0.07481355335016736,0.001600365797896662,36.0,29.0,36.0,12.727810859680176,13.613041877746582,18.129819869995117,0,0,0,0,0,0,0,0,2617,1965,652,0
1425,123,73,32670,1614,1404,204,6,1271,3,2678,0.5242718446601942,0.8698884758364313,0.6542404473438956,0.48614958448753465,0.12639405204460966,0.07871918741483959,0.00020120724346076458,30.58333396911621,23.0,29.0,12.813039302825928,25.923898696899414,13.603535652160645,579,519,60,0,0,0,0,0,1035,885,144,6
2111,037,1,32768,2866,2112,753,1,1265,75,3452,0.6118192352259559,0.7369155617585486,0.6685660018993352,0.5021398002853067,0.26273551988834615,0.06929228746713409,0.006439979392065945,36.0,29.0,34.0,14.457195281982422,13.483903884887695,17.788097381591797,0,0,0,0,0,0,0,0,2866,2112,753,1
1773,054,22,32738,3715,3468,247,0,1261,165,4894,0.7086228034327748,0.9335127860026918,0.8056684864676501,0.6745769305582572,0.06648721399730821,0.13117653177988142,0.008500772797527048,40.0,29.0,31.0,11.556872367858887,13.949502944946289,13.139598846435547,0,0,0,0,0,0,0,0,3715,3468,247,0
1795,123,66,32728,1293,1121,172,0,1261,0,2382,0.4706129303106633,0.8669760247486465,0.6100680272108844,0.4389193422083007,0.13302397525135345,0.08063691009080445,0.0,30.0,27.5,29.0,14.247137069702148,30.30508041381836,14.37301254272461,502,450,52,0,0,0,0,0,791,671,120,0
1046,054,4,32766,1684,1574,110,0,1248,6,2828,0.5565770862800565,0.9346793349168646,0.6976950354609929,0.5357385976855004,0.06532066508313539,0.0646900269541779,0.0005089058524173028,40.0,29.583333015441895,35.0,18.671671867370605,19.873075485229492,19.088732719421387,124,80,44,0,92,50,42,0,1468,1444,24,0
740,123,72,32709,1620,1361,253,6,1232,6,2599,0.5236629472874182,0.8401234567901235,0.6451765821284665,0.4762071378586424,0.15617283950617283,0.077338355304457,0.00039580447259054025,31.0,24.0,29.0,11.166977882385254,18.07813835144043,13.877704620361328,568,451,117,0,0,0,0,0,1052,910,136,6
1177,054,23,32741,3309,3194,115,0,1232,113,4539,0.7036792244987883,0.9652462979752191,0.8139653414882773,0.6862913622690159,0.034753702024780904,0.19478260869565217,0.004890292984809798,42.5,28.0,31.16666603088379,11.463244915008545,14.225915908813477,12.605595588684082,0,0,0,0,0,0,0,0,3309,3194,115,0
105,054,1,32765,1600,1511,89,0,1222,64,2797,0.5402216660707901,0.944375,0.6872867864453036,0.5235620235620235,0.055625,0.06434965771458663,0.005256673511293634,42.0,28.0,35.0,19.602964401245117,13.12956714630127,20.075695991516113,268,207,61,0,117,113,4,0,1215,1191,24,0
50,054,1,32765,1253,1201,52,0,1217,0,2418,0.49669148056244833,0.9584996009577015,0.6543176246254426,0.4862348178137652,0.041500399042298484,0.13375096164413672,0.0,42.0,21.5,36.0,20.02309799194336,25.955106735229492,21.035999298095703,132,100,32,0,117,117,0,0,1004,984,20,0
2129,123,68,32700,1457,1264,193,0,1189,1,2454,0.515077424612877,0.8675360329444063,0.6463819994886219,0.477521722704949,0.13246396705559368,0.07339053144867601,6.648052120728626e-05,30.0,11.0,29.0,13.263182163238525,32.23563003540039,13.273176193237305,490,437,53,0,0,0,0,0,967,827,140,0
