step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,predicted_lane,lane_false_positive,lane_recall,lane_precision,lane_f1,lane_iou,lane_to_road_rate,lane_tp_intensity_mean,lane_tp_intensity_median,lane_to_road_intensity_mean,lane_to_road_intensity_median,road_to_lane_intensity_mean,road_to_lane_intensity_median,lane_tp_range_mean,lane_tp_range_median,lane_to_road_range_mean,lane_to_road_range_median
774,124,53,16378,676,302,374,0,163,0,465,163,0.4467455621301775,0.6494623655913978,0.5293602103418055,0.3599523241954708,0.5532544378698225,59.294612884521484,60.0,30.269609451293945,30.0,32.07280349731445,30.0,11.558964729309082,10.658672332763672,14.56820297241211,14.25044584274292
911,123,21,16382,468,96,372,0,93,0,189,93,0.20512820512820512,0.5079365079365079,0.2922374429223744,0.1711229946524064,0.7948717948717948,57.09548568725586,57.0,29.067426681518555,30.0,43.74910354614258,32.5,14.32512378692627,14.556560039520264,14.20681381225586,14.172742366790771
443,123,14,16367,573,202,371,0,201,17,420,218,0.3525305410122164,0.48095238095238096,0.4068479355488419,0.2553729456384324,0.6474694589877836,48.94059371948242,46.0,27.216981887817383,30.0,38.18656539916992,35.0,21.162235260009766,20.78902530670166,20.628427505493164,18.286802291870117
251,013,25,16332,498,123,371,4,142,10,275,152,0.2469879518072289,0.44727272727272727,0.3182406209573092,0.18923076923076923,0.7449799196787149,57.94580078125,58.0,31.804582595825195,30.666667938232422,34.456573486328125,34.0,11.842034339904785,9.788533210754395,13.47270393371582,12.862709045410156
669,123,0,16372,470,100,370,0,90,0,190,90,0.2127659574468085,0.5263157894736842,0.30303030303030304,0.17857142857142858,0.7872340425531915,55.654998779296875,57.0,29.042795181274414,30.0,40.32777786254883,34.0,18.142715454101562,16.8797550201416,17.617656707763672,16.92867374420166
610,123,0,16362,469,99,370,0,91,0,190,91,0.21108742004264391,0.5210526315789473,0.30045523520485584,0.1767857142857143,0.7889125799573561,57.858585357666016,60.0,29.073875427246094,30.0,41.03296661376953,35.0,17.94218635559082,16.86830711364746,17.588539123535156,16.905414581298828
926,054,66,16383,474,105,369,0,67,122,294,189,0.22151898734177214,0.35714285714285715,0.2734375,0.1583710407239819,0.7784810126582279,58.233333587646484,55.0,28.07655906677246,29.0,28.23134422302246,29.0,12.118617057800293,10.339678764343262,14.797157287597656,13.692580223083496
522,054,50,16381,444,77,367,0,72,257,406,329,0.17342342342342343,0.1896551724137931,0.1811764705882353,0.09961190168175937,0.8265765765765766,42.93506622314453,34.0,29.31562042236328,29.5,30.890045166015625,30.75,16.52400779724121,15.529702186584473,14.226105690002441,13.54098129272461
1129,123,19,16384,717,351,366,0,184,0,535,184,0.4895397489539749,0.6560747663551402,0.560702875399361,0.3895671476137625,0.5104602510460251,54.501094818115234,59.0,28.776639938354492,29.0,37.130435943603516,32.0,10.524840354919434,9.691020965576172,13.415630340576172,13.483067512512207
42,013,29,16328,581,178,365,38,152,48,378,200,0.306368330464716,0.4708994708994709,0.37122002085505734,0.22791293213828426,0.6282271944922547,45.331459045410156,42.75,29.262786865234375,29.0,36.18311309814453,30.0,11.994437217712402,12.243500232696533,11.23206615447998,10.793450355529785
